,T,V,T^4
0,373.5,0.000163,19460877755.0625
1,383.5,0.000209,21630246720.0625
2,393.5,0.000253,23976122385.0625
3,403.5,0.000306,26507828750.0625
4,413.5,0.000362,29234929815.0625
5,423.5,0.000425,32167229580.0625
6,433.5,0.000487,35314772045.0625
7,443.5,0.000554,38687841210.0625
8,453.5,0.000644,42296961075.0625
9,463.5,0.000724,46152895640.0625
10,473.5,0.000809,50266648905.0625
11,483.5,0.000896,54649464870.0625
12,493.5,0.000994,59312827535.0625
13,503.5,0.001093,64268460900.0625
14,513.5,0.001192,69528328965.0625
15,523.5,0.001309,75104635730.0625
16,533.5,0.001425,81009825195.0625
17,543.5,0.001545,87256581360.0625
18,553.5,0.001676,93857828225.0625
19,563.5,0.001813,100826729790.0625
20,573.5,0.001934,108176690055.0625
21,583.5,0.00208,115921353020.0625
22,593.5,0.00223,124074602685.0625
23,603.5,0.00239,132650563050.0625
24,613.5,0.00256,141663598115.0625
25,623.5,0.00275,151128311880.0625
