,T,V,T^4
0,333.5,4e-05,12370388895.0625
1,343.5,7.6e-05,13922171060.0625
2,353.5,0.000116,15615563925.0625
3,363.5,0.000157,17458931490.0625
4,373.5,0.000204,19460877755.0625
5,383.5,0.000251,21630246720.0625
6,393.5,0.000304,23976122385.0625
7,403.5,0.000358,26507828750.0625
8,413.5,0.000415,29234929815.0625
9,423.5,0.000481,32167229580.0625
10,433.5,0.000545,35314772045.0625
11,443.5,0.00062,38687841210.0625
12,453.5,0.000698,42296961075.0625
13,463.5,0.000781,46152895640.0625
14,473.5,0.000846,50266648905.0625
15,483.5,0.000956,54649464870.0625
16,493.5,0.001054,59312827535.0625
17,503.5,0.001152,64268460900.0625
18,513.5,0.001259,69528328965.0625
19,523.5,0.001373,75104635730.0625
20,533.5,0.001496,81009825195.0625
21,543.5,0.001619,87256581360.0625
22,553.5,0.001751,93857828225.0625
23,563.5,0.001891,100826729790.0625
24,573.5,0.00202,108176690055.0625
25,583.5,0.00217,115921353020.0625
26,593.5,0.00232,124074602685.0625
27,603.5,0.00248,132650563050.0625
28,613.5,0.00264,141663598115.0625
29,623.5,0.00282,151128311880.0625
