,t0,t1,t2,dt,dt21,y,dy,u2,du2,s,ds,v1,dv1,v2,dv2,r,dr,CF,dCF,Q,dQ,Qc,dQc
0,0.0,5.3,4.4,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,0.00020125786163522014,1.1961552153791384e-05,0.001185185185185186,0.0001909465020576134,8.700264812331994e-05,7.008546654378553e-06,0.999999992817729,8.678577439315989e-10,7.867530811067549e-18,1.6268911922392142e-18,7.867530754560811e-18,1.6268911873823383e-18
1,0.0,25.0,6.3,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,4.266666666666667e-05,2.2186666666666666e-06,5.704099821746881e-05,3.157081986902685e-06,1.9086791219585967e-05,5.282039816115366e-07,0.9999999672613078,1.3590058301293023e-09,2.6051509590458913e-19,2.785299734875507e-20,2.6051508737566558e-19,2.78529967909259e-20
2,0.0,16.4,4.4,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,6.504065040650407e-05,3.450327186198691e-06,8.88888888888889e-05,5.185185185185186e-06,2.3826656469913408e-05,6.94944147039141e-07,0.9999999737740548,1.1473850740226441e-09,4.965630485570199e-19,5.469602461784034e-20,4.965630355341846e-19,5.469602375313443e-20
3,0.0,28.9,8.0,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,3.6908881199538644e-05,1.909300255823885e-06,5.103668261562999e-05,2.7960287844448005e-06,1.805429703046529e-05,4.945495239206401e-07,0.9999999653890385,1.4221130290081282e-09,2.1371714762602029e-19,2.2703781347420028e-20,2.1371714022906432e-19,2.2703780865550267e-20
4,0.0,23.2,18.0,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,4.597701149425288e-05,2.397938961553706e-06,0.00020512820512820517,1.4201183431952667e-05,3.6195289489590084e-05,1.2529138669473492e-06,0.9999999827359692,8.964015848957303e-10,6.810611318419459e-19,8.122295823607805e-20,6.810611200840856e-19,8.122295744434668e-20
5,0.0,13.2,7.4,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,8.080808080808081e-05,4.346495255586165e-06,0.00018390804597701155,1.236623067776457e-05,3.427202212326832e-05,1.1522490196616075e-06,0.9999999817671513,9.195014028838418e-10,9.518484067749944e-19,1.122442486049622e-19,9.518483894200864e-19,1.1224424743365577e-19
6,0.0,15.5,11.2,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,6.881720430107527e-05,3.662851196670135e-06,0.0002480620155038759,1.817198485667928e-05,3.980333836187086e-05,1.4579129748824793e-06,0.9999999843008998,8.625377550702944e-10,1.051483020805117e-18,1.2947085957231688e-19,1.0514830042977797e-18,1.2947085844668469e-19
7,0.0,23.2,3.1,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,4.597701149425288e-05,2.397938961553706e-06,5.306799336650084e-05,2.9174195358200702e-06,1.84100809265616e-05,5.060482443743922e-07,0.9999999660579122,1.3994778257195277e-09,2.686352120480915e-19,2.869595343575181e-20,2.6863520293005153e-19,2.869595283770026e-20
8,0.0,16.9,5.6,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,6.31163708086785e-05,3.3425533653116722e-06,9.439528023598822e-05,5.555120474064794e-06,2.4553562008272616e-05,7.224831298894376e-07,0.9999999745504711,1.1232701117598018e-09,5.005456421166181e-19,5.528404901960307e-20,5.0054562937796735e-19,5.528404817489802e-20
9,0.0,17.5,6.1,0.05,0.1,20.0,1.0,500.0,0.5,0.0010666666666666667,5.333333333333333e-05,6.095238095238096e-05,3.2217687074829933e-06,9.356725146198831e-05,5.499127936801067e-06,2.4445633740700834e-05,7.183585353626999e-07,0.9999999744381105,1.1267411526298848e-09,4.8254630574452315e-19,5.32228810719363e-20,4.825462934097278e-19,5.322288025516368e-20
